Company	Product	APS	Specification
CD Bioparticles	DiagNano Red Coloured Silica Particles, 1		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Coloured, Amine Silica Particles, 10		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Coloured, Amine Silica Particles, 15		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Coloured, Amine Silica Particles, 20		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Coloured, Amine Silica Particles, 3		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Coloured, Amine Silica Particles, 5		The coloured silica particles are applied for membrane checks, flow investigations or the quality check of antibody coupling procedures on surfaces.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 10 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 100 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 200 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 30 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 50 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Nanoparticles, 70 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 1		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 1.5		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 10		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 15		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 20		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 3		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 300 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 5		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent Silica Particles, 500 nm		Fluorescent silica nanoparticles are suitable for fluorescent imaging and multimodal imaging.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Nanoparticles, 100 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Nanoparticles, 30 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Nanoparticles, 50 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Nanoparticles, 70 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 1		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 1.5		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 10		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 15		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 20		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 200 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 3		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 300 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 4		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 5		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Amine Silica Particles, 500 nm		Fluorescent silica particles with amino groups (NH2) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Nanoparticles, 100 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Nanoparticles, 30 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Nanoparticles, 50 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Nanoparticles, 70 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 1		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 1.5		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 10		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 15		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 20		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 200 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 3		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 300 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 4		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 5		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Red Fluorescent, Carboxyl Silica Particles, 500 nm		Fluorescent silica particles with carboxylic acid groups (COOH) on the surface are suitable for the covalent binding of proteins, antibodies, oligonucleotides, enzymes or other molecules.
CD Bioparticles	DiagNano Silica Nanoparticles, 10 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Nanoparticles, 100 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Nanoparticles, 30 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Nanoparticles, 50 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Nanoparticles, 70 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 1		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 1.5		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 10		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 15		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 20		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 200 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 3		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 300 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 4		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 400 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 5		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 500 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 600 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 700 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Silica Particles, 800 nm		Protein adsorption and separation, nucleic acid detection and purification, drug and gene delivery, imaging contrast agents construction, theranostics platform
CD Bioparticles	DiagNano Streptavidin Silica Nanoparticles, 100 nm		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 1		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 1.5		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 10		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 15		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 20		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 200 nm		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 3		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 300 nm		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 4		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 5		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano Streptavidin Silica Particles, 500 nm		Ideal for binding biotinylated molecules easily and with a high affinity.
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 1		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 1.5		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 10		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 15		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 20		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 3		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 300 nm		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 4		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 5		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TiO2 Coated Silica Particles, 500 nm		Solar collectors, photocatalyzers, random lasers, optical devices, nanotoxicology study
CD Bioparticles	DiagNano TMS Silica Nanoparticles, 100 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Nanoparticles, 50 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 1		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 1.5		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 10		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 15		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 20		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 200 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 3		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 300 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 4		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 5		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
CD Bioparticles	DiagNano TMS Silica Particles, 500 nm		Suitable for high selectivity adsorption for polar, neutral and moderately non polar pharmaceuticals, food additives, organic chemicals and biologicals.
HIQ-NANO srl	Mesoporous Silica Nanoparticles	from 115 to 160 nm	
HIQ-NANO srl	Silica Nanoparticles	From 20 nm to 150 nm	Available in water with any surfactants or as dried powder
Green Technology Research Center Inc.	Silicon carbide (SiC)		
PlasmaChem GmbH	Silicon carbide nanoparticles	150-200nm	P(>99.5%)
PlasmaChem GmbH	Silicon carbide nanoparticles	150-200nm	P(>99.5); additionally grinded
PlasmaChem GmbH	Silicon carbide nanoparticles	25-50nm	Various shapes, P(>98.6)
EPRUI Nanoparticles & Microspheres Co. Ltd	Silicon carbide nanoparticles	40nm	P(99.5); cubic; plasma CVD
SkySpring Nanomaterials, Inc.	Silicon carbide nanoparticles	40nm	P(99%)
IoLiTec	Silicon carbide nanoparticles	50-60nm	P(95)
GoodFellow	Silicon carbide nanoparticles	50nm	Phase: Beta
Sisco Research Laboratories Pvt. Ltd.	Silicon carbide nanoparticles	50nm	(P>98%)
IoLiTec	Silicon carbide nanoparticles	60nm	P(99)
Marketech International	Silicon carbide nanoparticles	60nm	crystalline, beta
MTI Corporation	Silicon carbide nanoparticles	<=100nm	P(99.9), crystalline (beta), S(plasma)
MTI Corporation	Silicon carbide nanoparticles	<=70nm	P(99.9%), crystalline (beta), S(laser)
Nanomakers	Silicon Carbide nanoparticles 35nm	32-40nm	SSA=48-58m2/g; density=3,1-3,2; Moisture<1%wt.; Oxygen<1%wt.; Iron<40 ppm; Chromium<20 ppm; Nickel<5ppm
Pinfire - Gems & Colloids	Silicon Dioxide - Monodisperse Nanoparticles	200 - 2000nm	Non-Porous Monodisperse Silica Particles of High Purity
ABC Nanotech	Silicon dioxide nanoparticles	10-30nm	Porous spherical silica powder of high purity for use in cosmetics
MKnano	Silicon dioxide nanoparticles	15nm	P(99.5%), amorphous
IoLiTec	Silicon nitride nanoparticles	15-20nm	P(99)
PlasmaChem GmbH	Silicon nitride nanoparticles	20-30nm	
GoodFellow	Silicon nitride nanoparticles	20nm	Amorphous
IoLiTec	Silicon nitride nanoparticles	20nm	P(99)
Sisco Research Laboratories Pvt. Ltd.	Silicon nitride nanoparticles	20nm	(P>99%)
SkySpring Nanomaterials, Inc.	Silicon nitride nanoparticles	20nm	P(99%) amorphous
Marketech International	Silicon nitride nanoparticles	30nm	amorphous
MTI Corporation	Silicon nitride nanoparticles	<=50nm	P(98), crystalline, S(plasma)
MTI Corporation	Silicon nitride nanoparticles	<=50nm	P(98), crystalline, S(laser)
nanoComposix, Inc.	Silicon oxide nanoparticles	10-200nm	Custom functionalizations available
IoLiTec	Silicon oxide nanoparticles	10-20nm	P(>99)
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-20nm	P(99.8%) surface modified with amino group, dispersible
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-20nm	P(99.8%) surface modified with epoxy group, dispersible
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-20nm	P(99.8%) surface modified with double bond, dispersible
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-20nm	P(99.8%) surface modified with thiol, dispersible
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-30nm	P(99.9%) treated with Silane Coupling Agents
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-30nm	P(99%) treated with Hexamethyldisilazane
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-30nm	P(99%) treated with Titanium Ester
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	10-30nm	P(99%) treated with Silanes
Nyacol Nanotechnologies, Inc.	Silicon oxide nanoparticles	100nm	Ethylene Glycol, amorphous, negative particle charge
PlasmaChem GmbH	Silicon oxide nanoparticles	14nm	
Fuso Chemical	Silicon oxide nanoparticles	15-40nm	12%wt, slightly opalescent
EPRUI Nanoparticles & Microspheres Co. Ltd	Silicon oxide nanoparticles	15nm	P(99.5%); spherical; white
IoLiTec	Silicon oxide nanoparticles	20-60nm	P(99.5)
SkySpring Nanomaterials, Inc.	Silicon oxide nanoparticles	20-60nm	P(99.9%)
Marketech International	Silicon oxide nanoparticles	20nm	fumed
Nyacol Nanotechnologies, Inc.	Silicon oxide nanoparticles	20nm	Ethylene Glycol, amorphous, negative particle charge
Fuso Chemical	Silicon oxide nanoparticles	35-75nm	20%wt, opalescent
Nyacol Nanotechnologies, Inc.	Silicon oxide nanoparticles	50nm	Ethylene Glycol, amorphous, negative particle charge
Fuso Chemical	Silicon oxide nanoparticles	70-120nm	20%wt, milky
MTI Corporation	Silicon oxide nanoparticles	<=50nm	P(99.9), crystalline, S(sol-gel)
Nanomakers	Silicon Carbide nanoparticles 35nm - Granulated	32-40nm	Bulk density>300g/l; SSA=48-58m2/g; Density=3,05-3,20g/cm3; Moisture content<1%wt.; Oxygen<1,5%wt.; Iron<40ppm; Chromium<20ppm; Nickel<5ppm
Nanomakers	Silicon carbide nanoparticles 75nm	65-80nm	SSA=24-29m2/g; density=3.1-3.2g/cm3; Moisture content<1%wt.; Oxygen<1%wt.; Iron<40ppm; Chromium<20ppm; Nickel<5ppm
Nanomakers	Silicon Carbide nanoparticles 75nm - Granulated	65-80nm	Bulk density>300g/l; SSA=24-29m2/g; density=3.1-3.2g/cm3; Moisture content<1%wt.; Oxygen<1%wt.; Iron<40ppm; Chromium<20ppm; Nickel<5ppm
Keeling & Walker Ltd.	StanoStat CPM10C	20 nm	
Keeling & Walker Ltd.	StanoStat FTO	20 nm	
Sisco Research Laboratories Pvt. Ltd.	Tin dioxide nanoparticles	60nm	(P>99.5%)
PlasmaChem GmbH	Tin oxide nanoparticles		5% aqueous solution
Nyacol Nanotechnologies, Inc.	Tin oxide nanoparticles	10-15nm	pH=10-12
IoLiTec	Tin oxide nanoparticles	10-20nm	P(99.5)
Marketech International	Tin oxide nanoparticles	100nm	
Inframat Advanced Materials LLC	Tin oxide nanoparticles	80nm	P(99.9)
IoLiTec	Tin oxide nanoparticles	80nm	P(99.9)
Nanjing High Technology Nano Material Co., Ltd.	Anatase Nano Titanium Oxide		
CD Bioparticles	DiagNano Amine Titania Nanoparticles		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Amorphous Titania Nanoparticles, 5 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Microparticles, 1500 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in 1, 2-Propanediol, 20 wt%, 15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in 2-Propanol, 20 wt%, 15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Ethylene Glycol, 20 wt%, 15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Water, 15 wt%, 30-50 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Water, 15 wt%, 5-15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Water, 15 wt%, 5-30 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Water, 40 wt%, 30-50 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles in Xylene, 40 wt%, 30 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles, 15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles, 18 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles, 30 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles, 40 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase Titania Nanoparticles, 5 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Anatase/Rutile Titania Nanoparticles, 20 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Doped Anatase Titania Nanoparticles, 10 nm		Titanium Oxide Nanoparticles doped with 5.8 wt% metal W can be used as the photocatalytic production (anatase).
CD Bioparticles	DiagNano Hydrophobic Titania Nanoparticles		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Rutile Titania Microparticles, 1500 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
CD Bioparticles	DiagNano Rutile Titania Nanoparticles in Water, 15 wt%, 5-15 nm		Widely used as UV-resistant material, photocatalyst, antibacterial material, air purification, cosmetics, sunscreen cream, printing ink, plastics, and foods packing material.
