Company,Product,APS,Specification
PlasmaChem GmbH,Yttria Stabilized Zirconia nanoparticles,5-25nm,"3 mol% Y2O3), P(>92.7), monoclinic structure"
"Nanocerox, Inc.",Yttria Stabilized Zirconia nanoparticles,50-75nm,"crystalline, tetragonal"
Marketech International,Yttria Stabilized Zirconia nanoparticles,50nm,
Inframat Advanced Materials LLC,Yttria Stabilized Zirconia nanoparticles,65nm,"3 mol% Y2O3, P(>99.95)"
Innovnano,Yttria-stabilized Zirconia,15nm,
Innovnano,Yttria-stabilized Zirconia,60nm,yttria-stabilized 4 mol % zirconia
Innovnano,Yttria-stabilized Zirconia,60nm,yttria-stabilized 8 mol % zirconia
Innovnano,Yttria-stabilized Zirconia,60nm,yttria-stabilized 3 mol % zirconia
Innovnano,Yttria-stabilized Zirconia,60nm,yttria-stabilized 10 mol % zirconia
Alfa Chemistry,Yttrium Aluminum Oxide Nanoparticles,,
MTI Corporation,Yttrium Iron Garnet nanoparticles,<=100nm,"P(>99), crystalline"
"Changzhou Geoquin Nano New Material Co.,",Yttrium oxide,30-70nm,
MKnano,Zinc Oxide (Al-doped) nanoparticles,40nm,"P(99.99%), ph: 5-9"
MKnano,Zinc Oxide (Ga-doped) nanoparticles,40nm,"P(99.99%), ph: 5-9"
Nanoe,Zirconia ATZ,80+100nm,Specific surface area: 18 � 2 m2/g; minimum purity 99.9%
Alfa Chemistry,Zirconium silicate,,
