Company	Material	Atoms	Specification
Nanografi Nanotechnology Co. Ltd.	Fullerene-C60	60	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C60	60	
NeoTechProduct	Pure fullerenes	60	
PlasmaChem GmbH	Pure fullerenes	60	
Scientific and Technology Center NANOCLUSTER	Polyhydroxylated fullerenes, water-soluble, C60(OH)n (n>40)	60	The starting material are 99,5% purity C60 fullerenes. C60 bearing over 40 hydroxyl groups that have higher water solubility (>50 mg/mL) vs. C60(OH)36 (<20 mg/mL); C60(OH)12 (< 0.01 mg/mL); C60 (< 0.01 mg/mL). These exist as monodisperse nanoparticles in water, and have a valiant polishing effect. They exhibit superior antioxidant and anti-inflammatory properties.
SES Research	Pure fullerenes	60	reagent
SES Research	Pure fullerenes	60	ultra-oure, vacuum oven dried
SES Research	Pure fullerenes	60	purified
Sisco Research Laboratories Pvt. Ltd.	Pure fullerenes	60	
Solaris Chem	Fullerene C60	60	CAS: 99685-96-8
Solaris Chem	C60 Malonic Ester	60	CAS: N/A
Solaris Chem	Fullerene C60	60	CAS: 99685-96-8
Solaris Chem	Fullerenol C60	60	CAS: N/A
Solaris Chem	Fullerenol C60	60	CAS: N/A
Solaris Chem	C60 malonic ester	60	CAS: N/A
Solaris Chem	WSC60MA - Water Soluble C60	60	CAS: N/A
Solaris Chem	WSC60PI - Water Soluble C60	60	CAS: N/A
Solaris Chem	WSC60PS - Water Soluble C60	60	CAS: N/A
TCI Europe	Pure fullerenes	60	
American Dye Source, Inc.	Pure fullerenes	70	
American Dye Source, Inc.	Pure fullerenes	70	
IoLiTec	Pure fullerenes	70	
IoLiTec	Pure fullerenes	70	
IoLiTec	Chemically Modified Fullerenes	70	PCBM
IoLiTec	Chemically Modified Fullerenes	70	PCBM-BIS
IoLiTec	Chemically Modified Fullerenes	70	ThCBM
IoLiTec	Chemically Modified Fullerenes	70	ThCBM-BIS
IoLiTec	Chemically Modified Fullerenes	70	PCBA
IoLiTec	Chemically Modified Fullerenes	70	PCBA-BIS
IoLiTec	Chemically Modified Fullerenes	70	PCPA
IoLiTec	Chemically Modified Fullerenes	70	PCPA-BIS
IoLiTec	Chemically Modified Fullerenes	70	Ac
IoLiTec	Chemically Modified Fullerenes	70	Ac-BIS
IoLiTec	Chemically Modified Fullerenes	70	Mal
IoLiTec	Chemically Modified Fullerenes	70	Mal-BIS
Materials Technologies Research MTR Ltd.	13C-enriched fullerenes	70	
Materials Technologies Research MTR Ltd.	Pure fullerenes	70	
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	70	PCBM
Materials Technologies Research MTR Ltd.	Sublimed Fullerenes	70	
Materials Technologies Research MTR Ltd.	Pure fullerenes	70	
Materials Technologies Research MTR Ltd.	Pure fullerenes	70	
Materials Technologies Research MTR Ltd.	Sublimed Fullerenes	70	
Nano-C, Inc.	Pure fullerenes	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
Nanografi Nanotechnology Co. Ltd.	Fullerene-C70	70	
NeoTechProduct	Pure fullerenes	70	
PlasmaChem GmbH	Pure fullerenes	70	
SES Research	Pure fullerenes	70	
SES Research	Pure fullerenes	70	
Sisco Research Laboratories Pvt. Ltd.	Pure fullerenes	70	
TCI Europe	Pure fullerenes	70	
Nano-C, Inc.	Pure fullerenes	84	
SES Research	Pure fullerenes	84	
SES Research	Pure fullerenes	84	
SES Research	Pure fullerenes	84	
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	C61-PCBM
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	C70-PCBM
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	C61-PCBM
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	Phenyl C61-butyric Acid 2,5-dibromo-3-ethylthiophene Ester
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	C70-PCBM
American Dye Source, Inc.	Chemically Modified Fullerenes	n/a	Phenyl C61-butyric Acid 3-ethylthiophene Ester
IoLiTec	Fullerene-mixture (extract)	n/a	C60/C70 ca. 25% c&0
Materials Technologies Research MTR Ltd.	Chemically Modified Fullerenes	n/a	Organic derivatives of fullerenes (Fulleropyrrolidines)
Materials Technologies Research MTR Ltd.	Metallofullerene	n/a	La@C82
Materials Technologies Research MTR Ltd.	Fullerene-mixture (extract)	n/a	Higher-order mixture, C76 through C82
Materials Technologies Research MTR Ltd.	Metallofullerene	n/a	Gd@C82
SES Research	Metallofullerene	n/a	Scandium Sc3N@c80
SES Research	Metallofullerene	n/a	Lutetium Lu3N@c80
SES Research	Metallofullerene	n/a	Erbium Er3N@C80
SES Research	Metallofullerene	n/a	Holmium Ho3N@C80
SES Research	Metallofullerene	n/a	Gadolinium Gd3N@C80
SES Research	Metallofullerene	n/a	Yttrium Y3N@C80
SES Research	Fullerene-mixture (extract)	n/a	C60/C70; approx 70% C60, 28% C70, 2% higher
SES Research	Metallofullerene	n/a	Gadolinium Gd3N@C80
